symbol,start_time,open,high,low,close
MRF,13:40,158800.0,159300.0,158665.0,159140.0
MUTHOOTFIN,13:40,3201.300048828125,3203.800048828125,3200.89990234375,3203.699951171875
NESTLEIND,13:40,1270.5999755859375,1270.5999755859375,1267.5999755859375,1267.699951171875
NMDC,13:40,74.70999908447266,74.72000122070312,74.55999755859375,74.58000183105469
NTPC,13:40,338.54998779296875,338.70001220703125,338.3500061035156,338.3500061035156
ONGC,13:40,251.4600067138672,251.66000366210938,250.89999389648438,250.89999389648438
PAGEIND,13:40,40820.0,40845.0,40800.0,40800.0
PFC,13:40,394.95001220703125,395.0,394.54998779296875,394.75
PIDILITIND,13:40,1493.9000244140625,1497.9000244140625,1491.699951171875,1494.0999755859375
PIIND,13:40,3581.89990234375,3583.699951171875,3577.0,3578.300048828125
