date,time,symbol,direction,result,entry_price,orh,orl,prev_close,day_high,day_low,exit_price,exit_reason,PnL_%,equity_curve,cumulative_pnl
2026-02-27,10:23:09,DRREDDY,SELL,LOSS,1294.6,1312.0,1303.5,1319.3,1297.0,1293.7,1294.68,Trailing Stop,-0.01,113.01708818798024,13.017088187980235
2026-02-27,10:23:09,INDUSTOWER,SELL,LOSS,452.85,461.55,457.4,461.25,456.8,452.85,453.31,Trailing Stop,-0.1,112.90407109979226,12.904071099792262
2026-02-27,10:23:09,MARICO,SELL,LOSS,791.2,802.7,797.65,805.75,794.7,791.2,791.85,Trailing Stop,-0.08,112.81374784291242,12.81374784291242
2026-02-27,10:23:09,MAXHEALTH,SELL,LOSS,1089.0,1105.1,1093.8,1109.9,1102.4,1089.0,1089.48,Trailing Stop,-0.04,112.76862234377526,12.768622343775263
2026-02-27,10:23:09,PRESTIGE,SELL,LOSS,1402.7,1434.3,1416.5,1428.5,1415.6,1402.7,1404.08,Trailing Stop,-0.1,112.65585372143148,12.655853721431484
2026-03-23,09:39:34,BAJFINANCE,SELL,WIN,805.05,811.8,806.85,830.55,817.3,803.75,804.06,Trailing Stop,0.12,112.7910407458972,12.791040745897206
2026-03-23,09:39:34,CGPOWER,SELL,WIN,667.4,673.85,668.1,681.6,667.7,665.2,665.49,Trailing Stop,0.29,113.1181347640603,13.1181347640603
2026-03-23,09:39:34,INDIGO,SELL,WIN,4040.0,4095.8,4051.1,4149.1,4042.1,4021.6,4024.55,Trailing Stop,0.38,113.54798367616374,13.547983676163739
2026-03-23,09:39:34,IOC,SELL,WIN,140.18,142.4,140.71,144.6,140.62,140.01,140.08,Trailing Stop,0.07,113.62746726473705,13.62746726473705
2026-03-23,09:39:34,MRF,SELL,WIN,124550.0,125570.0,124725.0,127535.0,125860.0,124515.0,124536.0,Trailing Stop,0.01,113.63883001146353,13.638830011463526
2026-03-23,09:39:34,SBILIFE,SELL,WIN,1845.8,1862.0,1850.1,1896.9,1848.9,1844.4,1844.97,Trailing Stop,0.04,113.6842855434681,13.684285543468107
2026-03-23,09:39:34,VOLTAS,SELL,WIN,1268.1,1279.3,1271.9,1324.5,1269.9,1262.6,1263.53,Trailing Stop,0.36,114.0935489714246,14.093548971424596
2026-03-23,09:45:14,360ONE,SELL,WIN,1018.1,1026.5,1019.7,1040.6,1015.8,1013.9,1014.48,Trailing Stop,0.36,114.50428574772172,14.504285747721724
2026-03-23,09:45:14,ADANIENSOL,SELL,WIN,984.6,996.3,986.7,1009.9,980.0,974.6,975.81,Trailing Stop,0.89,115.52337389087644,15.523373890876442
2026-03-23,09:45:14,ADANIPORTS,SELL,WIN,1322.1,1339.0,1330.8,1365.4,1318.4,1312.1,1313.97,Trailing Stop,0.61,116.22806647161079,16.228066471610788
2026-03-23,09:45:14,ADANIPOWER,SELL,WIN,148.33,151.3,149.0,151.54,149.45,147.45,147.6,Trailing Stop,0.49,116.79758399732167,16.797583997321667
2026-03-23,09:45:14,DRREDDY,SELL,WIN,1272.6,1284.9,1275.6,1298.9,1283.6,1266.2,1267.14,Trailing Stop,0.43,117.29981360851015,17.29981360851015
