symbol,open,high,low,close,ORH,ORL,last_close,signal,time
AXISBANK,1246.4000244140625,1248.0,1241.199951171875,1242.300048828125,1248.0,1241.199951171875,1238.5999755859375,BREAKDOWN ↓ (close below ORL),15:25
BAJAJ-AUTO,9040.0,9065.0,9014.5,9044.0,9065.0,9014.5,8923.0,BREAKDOWN ↓ (close below ORL),15:25
BAJAJFINSV,2136.0,2137.300048828125,2129.5,2132.10009765625,2137.300048828125,2129.5,2115.10009765625,BREAKDOWN ↓ (close below ORL),15:25
BAJAJHFL,110.30999755859375,112.4000015258789,110.30999755859375,111.54000091552734,112.4000015258789,110.30999755859375,110.72000122070312,Inside Range,15:25
BAJAJHLDNG,12683.0,12685.0,12608.0,12644.0,12685.0,12608.0,12450.0,BREAKDOWN ↓ (close below ORL),15:25
BAJFINANCE,1063.5999755859375,1066.800048828125,1061.25,1063.6500244140625,1066.800048828125,1061.25,1052.300048828125,BREAKDOWN ↓ (close below ORL),15:25
BANKBARODA,274.5,275.79998779296875,272.8500061035156,274.8999938964844,275.79998779296875,272.8500061035156,272.3999938964844,BREAKDOWN ↓ (close below ORL),15:25
BANKINDIA,140.0,141.64999389648438,140.0,140.74000549316406,141.64999389648438,140.0,138.83999633789062,BREAKDOWN ↓ (close below ORL),15:25
BDL,1525.0,1533.5,1520.199951171875,1523.300048828125,1533.5,1520.199951171875,1515.9000244140625,BREAKDOWN ↓ (close below ORL),15:25
BEL,407.79998779296875,408.29998779296875,406.1000061035156,407.25,408.29998779296875,406.1000061035156,410.04998779296875,BREAKOUT ↑ (close above ORH),15:25
BHARATFORG,1325.0,1326.300048828125,1316.199951171875,1316.199951171875,1326.300048828125,1316.199951171875,1317.199951171875,Inside Range,15:25
BHARTIARTL,2079.0,2082.0,2064.199951171875,2068.199951171875,2082.0,2064.199951171875,2066.300048828125,Inside Range,15:25
BHARTIHEXA,1895.0,1895.0,1871.0,1882.5999755859375,1895.0,1871.0,1861.0,BREAKDOWN ↓ (close below ORL),15:25
BHEL,249.41000366210938,251.0,246.8000030517578,249.6699981689453,251.0,246.8000030517578,261.79998779296875,BREAKOUT ↑ (close above ORH),15:25
BIOCON,374.75,380.1499938964844,372.6000061035156,375.04998779296875,380.1499938964844,372.6000061035156,376.6000061035156,Inside Range,15:25
BLUESTARCO,1965.0,1967.0,1947.0,1949.0,1967.0,1947.0,1961.800048828125,Inside Range,15:25
BOSCHLTD,37380.0,37435.0,37200.0,37300.0,37435.0,37200.0,37200.0,Inside Range,15:25
BPCL,349.6499938964844,349.6499938964844,345.54998779296875,348.20001220703125,349.6499938964844,345.54998779296875,357.6000061035156,BREAKOUT ↑ (close above ORH),15:25
BRITANNIA,5850.0,5850.0,5800.0,5808.5,5850.0,5800.0,5859.5,BREAKOUT ↑ (close above ORH),15:25
BSE,2455.0,2461.699951171875,2441.5,2460.800048828125,2461.699951171875,2441.5,2444.0,Inside Range,15:25
CANBK,129.3699951171875,129.60000610351562,128.63999938964844,128.75999450683594,129.60000610351562,128.63999938964844,132.77999877929688,BREAKOUT ↑ (close above ORH),15:25
CGPOWER,752.0,752.6500244140625,730.0,742.3499755859375,752.6500244140625,730.0,734.0999755859375,Inside Range,15:25
CHOLAFIN,1711.9000244140625,1720.0,1711.0,1719.300048828125,1720.0,1711.0,1711.800048828125,Inside Range,15:25
CIPLA,1587.0,1587.0,1566.0999755859375,1568.699951171875,1587.0,1566.0999755859375,1540.0999755859375,BREAKDOWN ↓ (close below ORL),15:25
COALINDIA,382.25,383.0,379.5,382.95001220703125,383.0,379.5,388.0,BREAKOUT ↑ (close above ORH),15:25
COCHINSHIP,1804.5,1804.699951171875,1790.5999755859375,1795.800048828125,1804.699951171875,1790.5999755859375,1781.5,BREAKDOWN ↓ (close below ORL),15:25
COFORGE,1809.5,1812.5,1801.5,1804.5,1812.5,1801.5,1805.0,Inside Range,15:25
COLPAL,2268.0,2268.5,2252.5,2253.699951171875,2268.5,2252.5,2255.300048828125,Inside Range,15:25
CONCOR,557.0,557.0,553.5499877929688,554.5999755859375,557.0,553.5499877929688,550.0,BREAKDOWN ↓ (close below ORL),15:25
COROMANDEL,2260.0,2272.60009765625,2244.60009765625,2257.5,2272.60009765625,2244.60009765625,2168.89990234375,BREAKDOWN ↓ (close below ORL),15:25
CUMMINSIND,4357.0,4357.0,4321.0,4325.7998046875,4357.0,4321.0,4384.2001953125,BREAKOUT ↑ (close above ORH),15:25
DABUR,511.5,511.5,504.75,505.29998779296875,511.5,504.75,500.54998779296875,BREAKDOWN ↓ (close below ORL),15:25
DIVISLAB,6544.5,6585.5,6539.0,6562.0,6585.5,6539.0,6655.0,BREAKOUT ↑ (close above ORH),15:25
DIXON,15565.0,15600.0,15495.0,15562.0,15600.0,15495.0,15650.0,BREAKOUT ↑ (close above ORH),15:25
DLF,780.7999877929688,784.1500244140625,779.0,779.1500244140625,784.1500244140625,779.0,776.5499877929688,BREAKDOWN ↓ (close below ORL),15:25
DMART,4229.39990234375,4229.39990234375,4210.0,4213.89990234375,4229.39990234375,4210.0,4155.0,BREAKDOWN ↓ (close below ORL),15:25
DRREDDY,1189.5,1200.4000244140625,1182.4000244140625,1191.300048828125,1200.4000244140625,1182.4000244140625,1203.5,BREAKOUT ↑ (close above ORH),15:25
EICHERMOT,6969.5,6988.5,6943.5,6971.5,6988.5,6943.5,6900.0,BREAKDOWN ↓ (close below ORL),15:25
ENRIN,3138.199951171875,3152.0,3125.0,3141.199951171875,3152.0,3125.0,3210.0,BREAKOUT ↑ (close above ORH),15:25
ETERNAL,326.54998779296875,332.25,326.54998779296875,330.6499938964844,332.25,326.54998779296875,329.3500061035156,Inside Range,15:25
EXIDEIND,385.1499938964844,385.1499938964844,382.54998779296875,383.6000061035156,385.1499938964844,382.54998779296875,383.3500061035156,Inside Range,15:25
FEDERALBNK,235.25,235.39999389648438,234.5,235.2899932861328,235.39999389648438,234.5,234.80999755859375,Inside Range,15:25
FORTIS,1051.9000244140625,1055.5999755859375,1050.0,1052.4000244140625,1055.5999755859375,1050.0,1043.0,BREAKDOWN ↓ (close below ORL),15:25
GAIL,185.5399932861328,185.5399932861328,182.85000610351562,183.1999969482422,185.5399932861328,182.85000610351562,183.0,Inside Range,15:25
GLENMARK,1850.5,1852.9000244140625,1830.5999755859375,1833.5,1852.9000244140625,1830.5999755859375,1882.800048828125,BREAKOUT ↑ (close above ORH),15:25
GMRAIRPORT,93.20999908447266,95.0999984741211,93.20999908447266,95.0999984741211,95.0999984741211,93.20999908447266,94.47000122070312,Inside Range,15:25
GODFRYPHLP,3170.89990234375,3170.89990234375,3144.89990234375,3165.89990234375,3170.89990234375,3144.89990234375,3145.10009765625,Inside Range,15:25
GODREJCP,1109.0,1109.0,1103.5,1104.4000244140625,1109.0,1103.5,1114.0,BREAKOUT ↑ (close above ORH),15:25
GODREJPROP,2300.0,2311.300048828125,2288.800048828125,2289.0,2311.300048828125,2288.800048828125,2298.89990234375,Inside Range,15:25
